Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1961","1961","t","2145064","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1962","1962","t","2378826","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1963","1963","t","2605287","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1964","1964","t","2019240","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1965","1965","t","1995096","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1966","1966","t","2320931","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1967","1967","t","2521953","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1968","1968","t","2561320","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1969","1969","t","2882933","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1970","1970","t","2624011","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1971","1971","t","2000893","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1972","1972","t","2191102","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1973","1973","t","2148578","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1974","1974","t","2163033","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1975","1975","t","2438552","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1976","1976","t","2811410","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1977","1977","t","2913776","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1978","1978","t","3193244","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1979","1979","t","3020199","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1806","Beef and Buffalo Meat, primary","1980","1980","t","2839248","A","Official figure",""
